slug,date,open,high,low,close,currency
EUR/JPY,2017-10-03,132.315002,132.871994,132.192993,132.315994,JPY
EUR/GBP,2017-10-03,0.88384,0.88801,0.88221,0.8838,GBP
EUR/USD,2017-10-03,1.173323,1.177163,1.169741,1.173378,USD
EUR/JPY,2017-10-04,132.559998,132.727997,132.25,132.563995,JPY
EUR/GBP,2017-10-04,0.88708,0.88782,0.88515,0.88715,GBP
EUR/USD,2017-10-04,1.174784,1.178675,1.174743,1.174757,USD
EUR/JPY,2017-10-05,132.641998,132.755005,131.850006,132.638,JPY
EUR/GBP,2017-10-05,0.88841,0.89307,0.8875,0.88833,GBP
EUR/USD,2017-10-05,1.175696,1.177995,1.170385,1.175724,USD
EUR/USD,2017-10-06,1.171399,1.173874,1.167133,1.171234,USD
EUR/GBP,2017-10-06,0.89322,0.89916,0.89309,0.8932,GBP
EUR/JPY,2017-10-06,132.100006,132.748001,131.977997,132.076004,JPY
EUR/USD,2017-10-09,1.174288,1.175088,1.172099,1.174246,USD
EUR/GBP,2017-10-09,0.89747,0.89757,0.8906,0.89744,GBP
EUR/JPY,2017-10-09,132.147995,132.404999,131.960007,132.156006,JPY
EUR/GBP,2017-10-10,0.89348,0.8952,0.8925,0.89334,GBP
EUR/JPY,2017-10-10,132.304993,132.723007,132.272995,132.270996,JPY
EUR/USD,2017-10-10,1.174191,1.181768,1.174191,1.174164,USD
EUR/JPY,2017-10-11,132.718994,133.203003,132.460007,132.729996,JPY
EUR/GBP,2017-10-11,0.89426,0.8987,0.89399,0.89429,GBP
EUR/USD,2017-10-11,1.181405,1.185804,1.179635,1.181488,USD
EUR/USD,2017-10-12,1.186535,1.188072,1.18318,1.186549,USD
EUR/JPY,2017-10-12,133.365005,133.477005,132.940002,133.403,JPY
EUR/GBP,2017-10-12,0.89622,0.903,0.895,0.89614,GBP
EUR/USD,2017-10-13,1.183138,1.187437,1.180624,1.18318,USD
EUR/GBP,2017-10-13,0.89193,0.8928,0.88758,0.89197,GBP
EUR/JPY,2017-10-13,132.785995,132.923004,132.207001,132.779999,JPY
EUR/USD,2017-10-16,1.181502,1.182103,1.178106,1.181405,USD
EUR/GBP,2017-10-16,0.88904,0.89049,0.88558,0.8889,GBP
EUR/JPY,2017-10-16,132.175995,132.371994,131.679993,132.169998,JPY
EUR/USD,2017-10-17,1.17951,1.17951,1.17386,1.179454,USD
EUR/JPY,2017-10-17,132.300003,132.363007,131.839996,132.320007,JPY
EUR/GBP,2017-10-17,0.88977,0.89259,0.88585,0.88994,GBP
EUR/USD,2017-10-18,1.177288,1.177981,1.173227,1.177191,USD
EUR/GBP,2017-10-18,0.89225,0.89465,0.89097,0.8922,GBP
EUR/JPY,2017-10-18,132.085999,133.063004,131.990005,132.084,JPY
EUR/USD,2017-10-19,1.179357,1.185719,1.176997,1.179523,USD
EUR/JPY,2017-10-19,133.264999,133.613007,132.496994,133.292007,JPY
EUR/GBP,2017-10-19,0.89259,0.89895,0.89259,0.89262,GBP
EUR/JPY,2017-10-20,133.498001,133.944,133.419998,133.492996,JPY
EUR/USD,2017-10-20,1.185199,1.185804,1.1765,1.184806,USD
EUR/GBP,2017-10-20,0.90093,0.90214,0.89273,0.90086,GBP
EUR/USD,2017-10-23,1.175475,1.177899,1.173406,1.175364,USD
EUR/GBP,2017-10-23,0.89101,0.89269,0.8898,0.89106,GBP
EUR/JPY,2017-10-23,134.057007,134.078995,133.501999,134.041,JPY
EUR/GBP,2017-10-24,0.89032,0.89679,0.88939,0.89,GBP
EUR/JPY,2017-10-24,133.203995,134.166,133.203995,133.231995,JPY
EUR/USD,2017-10-24,1.17553,1.177718,1.174384,1.175917,USD
EUR/JPY,2017-10-25,133.979004,134.483002,133.759995,133.981003,JPY
EUR/GBP,2017-10-25,0.89563,0.89722,0.88806,0.8954,GBP
EUR/USD,2017-10-25,1.175986,1.181754,1.175378,1.175903,USD
EUR/GBP,2017-10-26,0.89065,0.89554,0.88736,0.8905,GBP
EUR/USD,2017-10-26,1.182215,1.183558,1.169221,1.182075,USD
EUR/JPY,2017-10-26,134.222,134.473999,132.996002,134.223999,JPY
EUR/GBP,2017-10-27,0.8865,0.89008,0.88253,0.88632,GBP
EUR/JPY,2017-10-27,132.820007,132.942001,131.749298,132.802994,JPY
EUR/USD,2017-10-27,1.1639,1.164415,1.157595,1.163724,USD
EUR/GBP,2017-10-30,0.8836,0.88481,0.87931,0.88356,GBP
EUR/JPY,2017-10-30,131.945007,132.268005,131.539993,131.985001,JPY
EUR/USD,2017-10-30,1.160726,1.16428,1.15981,1.160456,USD
EUR/GBP,2017-10-31,0.88181,0.88229,0.87684,0.88192,GBP
EUR/JPY,2017-10-31,131.682999,132.378998,131.509995,131.667007,JPY
EUR/USD,2017-10-31,1.164985,1.165895,1.162561,1.16527,USD
EUR/JPY,2017-11-01,132.427994,132.828003,132.369995,132.419998,JPY
EUR/GBP,2017-11-01,0.87661,0.87761,0.8734,0.87653,GBP
EUR/USD,2017-11-01,1.165162,1.165746,1.160833,1.165175,USD
EUR/GBP,2017-11-02,0.8772,0.89362,0.8767,0.87723,GBP
EUR/JPY,2017-11-02,132.770004,133.113007,132.591003,132.742996,JPY
EUR/USD,2017-11-02,1.162912,1.16873,1.162885,1.162872,USD
EUR/USD,2017-11-03,1.166317,1.168675,1.160524,1.166181,USD
EUR/GBP,2017-11-03,0.8932,0.89336,0.88785,0.8929,GBP
EUR/JPY,2017-11-03,132.936005,132.985001,132.537994,132.910004,JPY
EUR/USD,2017-11-06,1.161535,1.162656,1.158279,1.161494,USD
EUR/GBP,2017-11-06,0.88799,0.88883,0.88213,0.8878,GBP
EUR/JPY,2017-11-06,132.630005,133.115005,132.024002,132.589996,JPY
EUR/JPY,2017-11-07,132.106003,132.403,131.850006,132.112,JPY
EUR/GBP,2017-11-07,0.8814,0.88325,0.87922,0.8813,GBP
EUR/USD,2017-11-07,1.161184,1.16171,1.155588,1.161265,USD
EUR/JPY,2017-11-08,131.953003,132.164001,131.401993,131.968994,JPY
EUR/USD,2017-11-08,1.160254,1.160955,1.158118,1.160106,USD
EUR/GBP,2017-11-08,0.88072,0.88619,0.8799,0.8806,GBP
EUR/JPY,2017-11-09,132.095993,132.244995,131.522995,132.076004,JPY
EUR/GBP,2017-11-09,0.884,0.88763,0.8824,0.88408,GBP
EUR/USD,2017-11-09,1.159555,1.165257,1.158641,1.159689,USD
EUR/GBP,2017-11-10,0.886,0.8871,0.88125,0.88606,GBP
EUR/JPY,2017-11-10,132.014008,132.311996,131.960007,132.039993,JPY
EUR/USD,2017-11-10,1.164524,1.167515,1.162399,1.164687,USD
EUR/USD,2017-11-13,1.166113,1.167515,1.163873,1.166113,USD
EUR/JPY,2017-11-13,132.567001,132.567001,131.910004,132.563995,JPY
EUR/GBP,2017-11-13,0.88881,0.89226,0.88725,0.8888,GBP
EUR/USD,2017-11-14,1.166494,1.177413,1.16633,1.166494,USD
EUR/GBP,2017-11-14,0.88906,0.89738,0.88896,0.8891,GBP
EUR/JPY,2017-11-14,132.509003,133.524994,132.479996,132.470001,JPY
EUR/GBP,2017-11-15,0.89604,0.90106,0.8957,0.8961,GBP
EUR/USD,2017-11-15,1.179176,1.185944,1.178606,1.179287,USD
EUR/JPY,2017-11-15,133.714005,133.828995,133.160995,133.735001,JPY
EUR/JPY,2017-11-17,133.134995,133.139999,132.059998,133.113998,JPY
EUR/GBP,2017-11-17,0.89223,0.89529,0.8898,0.89217,GBP
EUR/USD,2017-11-17,1.177732,1.182173,1.177468,1.177745,USD
EUR/GBP,2017-11-20,0.88875,0.89033,0.8856,0.8886,GBP
EUR/USD,2017-11-20,1.173213,1.180749,1.172594,1.173186,USD
EUR/JPY,2017-11-20,131.414993,132.455994,131.292007,131.434006,JPY
EUR/JPY,2017-11-21,132.117004,132.255005,131.574997,132.102997,JPY
EUR/GBP,2017-11-21,0.88635,0.88772,0.88425,0.88632,GBP
EUR/USD,2017-11-21,1.173874,1.175668,1.17155,1.174122,USD
EUR/JPY,2017-11-22,131.893997,131.897995,131.466507,131.845993,JPY
EUR/USD,2017-11-22,1.174095,1.179816,1.173557,1.173723,USD
EUR/GBP,2017-11-22,0.88627,0.88905,0.8854,0.88605,GBP
EUR/USD,2017-11-23,1.181516,1.1855,1.181447,1.181474,USD
EUR/JPY,2017-11-23,131.460007,131.869003,131.231003,131.479996,JPY
EUR/GBP,2017-11-23,0.88729,0.89099,0.88681,0.8871,GBP
EUR/JPY,2017-11-24,131.845001,133.212997,131.839996,131.839996,JPY
EUR/USD,2017-11-24,1.185087,1.194372,1.183726,1.185396,USD
EUR/GBP,2017-11-24,0.89057,0.8951,0.88935,0.8906,GBP
EUR/JPY,2017-11-27,133.173996,133.173996,132.129593,133.179001,JPY
EUR/USD,2017-11-27,1.192876,1.196043,1.190816,1.192649,USD
EUR/GBP,2017-11-27,0.8952,0.89653,0.89293,0.89507,GBP
