slug,date,open,high,low,close,currency,paypal_rate,paypal_final_cost,paypal_markup,wise_rate,wise_final_cost,wise_markup,revolut_markup_pct,revolut_rate,revolut_final_cost,revolut_markup,year,month,day_of_week,day_name,quarter,season
EUR/USD,2015-12-11,1.094799,1.103,1.092801,1.094811,USD,1.12765533,1129.83400389,0.03284433000000009,1.094811,1100.2850549999998,0.0,0.0,1.094811,1094.811,0.0,2015,12,4,Friday,4,Winter
EUR/GBP,2015-12-11,0.72201,0.72501,0.7209,0.72206,GBP,0.7437218000000001,745.1586994000002,0.021661800000000064,0.72206,725.6703000000001,0.0,0.0,0.72206,722.0600000000001,0.0,2015,12,4,Friday,4,Winter
EUR/GBP,2015-12-14,0.72257,0.72931,0.72064,0.7226,GBP,0.744278,745.7159740000001,0.021677999999999975,0.7226,726.2130000000001,0.0,0.0,0.7226,722.6,0.0,2015,12,0,Monday,4,Winter
EUR/JPY,2015-12-14,132.744995,133.210007,132.460007,132.759995,JPY,136.74279485,137006.98724005002,3.982799849999992,132.759995,133423.794975,0.0,0.0,132.759995,132759.995,0.0,2015,12,0,Monday,4,Winter
EUR/USD,2015-12-14,1.098998,1.104,1.094703,1.098394,USD,1.1313458200000002,1133.5316240600002,0.032951820000000076,1.098394,1103.88597,0.0,0.0,1.098394,1098.394,0.0,2015,12,0,Monday,4,Winter
EUR/JPY,2015-12-15,133.126999,133.511002,132.867996,133.100006,JPY,137.09300618,137357.87519194,3.9930001799999957,133.100006,133765.50603,0.0,0.0,133.100006,133100.006,0.0,2015,12,1,Tuesday,4,Winter
EUR/GBP,2015-12-15,0.7251,0.73014,0.72144,0.72513,GBP,0.7468839,748.3269087,0.021753899999999993,0.72513,728.7556500000001,0.0,0.0,0.72513,725.1300000000001,0.0,2015,12,1,Tuesday,4,Winter
EUR/USD,2015-12-15,1.099227,1.107,1.0922,1.0993,USD,1.132279,1134.466607,0.03297900000000009,1.0993,1104.7965,0.0,0.0,1.0993,1099.3,0.0,2015,12,1,Tuesday,4,Winter
EUR/JPY,2015-12-16,133.016006,133.488007,132.901993,133.050995,JPY,137.04252485,137307.29633005,3.9915298500000063,133.050995,133716.24997499998,0.0,0.0,133.050995,133050.995,0.0,2015,12,2,Wednesday,4,Winter
EUR/GBP,2015-12-16,0.7267,0.72938,0.726,0.72689,GBP,0.7486967000000001,750.1432111,0.021806700000000068,0.72689,730.52445,0.0,0.0,0.72689,726.89,0.0,2015,12,2,Wednesday,4,Winter
EUR/USD,2015-12-16,1.093601,1.0958,1.091322,1.093625,USD,1.1264337500000001,1128.61006375,0.03280875000000005,1.093625,1099.093125,0.0,0.0,1.093625,1093.625,0.0,2015,12,2,Wednesday,4,Winter
EUR/USD,2015-12-17,1.087406,1.088898,1.083353,1.087453,USD,1.12007659,1122.2406214700002,0.032623590000000036,1.087453,1092.890265,0.0,0.0,1.087453,1087.453,0.0,2015,12,3,Thursday,4,Winter
EUR/JPY,2015-12-17,133.177002,133.229996,132.649994,133.160004,JPY,137.15480412,137419.79252795997,3.994800120000008,133.160004,133825.80401999998,0.0,0.0,133.160004,133160.004,0.0,2015,12,3,Thursday,4,Winter
EUR/GBP,2015-12-17,0.726,0.72951,0.7241,0.7261,GBP,0.747883,749.3279389999999,0.021782999999999997,0.7261,729.7305,0.0,0.0,0.7261,726.1,0.0,2015,12,3,Thursday,4,Winter
EUR/JPY,2015-12-18,132.759995,133.623001,131.054001,132.764999,JPY,136.74794896999998,137012.15131800997,3.982949969999993,132.764999,133428.82399499998,0.0,0.0,132.764999,132764.99899999998,0.0,2015,12,4,Friday,4,Winter
EUR/GBP,2015-12-18,0.72624,0.72854,0.72399,0.7262,GBP,0.7479859999999999,749.4311379999999,0.021785999999999972,0.7262,729.8309999999999,0.0,0.0,0.7262,726.1999999999999,0.0,2015,12,4,Friday,4,Winter
EUR/USD,2015-12-18,1.084399,1.087,1.0806,1.08441,USD,1.1169423,1119.1002759000003,0.03253229999999996,1.08441,1089.83205,0.0,0.0,1.08441,1084.41,0.0,2015,12,4,Friday,4,Winter
EUR/USD,2015-12-21,1.087016,1.092,1.0852,1.086992,USD,1.11960176,1121.7648740799998,0.03260975999999993,1.086992,1092.42696,0.0,0.0,1.086992,1086.992,0.0,2015,12,0,Monday,4,Winter
EUR/GBP,2015-12-21,0.72907,0.73322,0.7278,0.72908,GBP,0.7509524,752.4032692000001,0.021872400000000014,0.72908,732.7253999999999,0.0,0.0,0.72908,729.0799999999999,0.0,2015,12,0,Monday,4,Winter
EUR/JPY,2015-12-21,131.845001,132.313004,131.658005,131.845001,JPY,135.80035103,136062.72258199,3.9553500300000053,131.845001,132504.22600499997,0.0,0.0,131.845001,131845.001,0.0,2015,12,0,Monday,4,Winter
EUR/GBP,2015-12-22,0.73261,0.74005,0.73198,0.7323,GBP,0.754269,755.726277,0.021969000000000016,0.7323,735.9615,0.0,0.0,0.7323,732.3,0.0,2015,12,1,Tuesday,4,Winter
EUR/USD,2015-12-22,1.091203,1.0984,1.090501,1.091298,USD,1.12403694,1126.2086230200002,0.032738939999999994,1.091298,1096.75449,0.0,0.0,1.091298,1091.298,0.0,2015,12,1,Tuesday,4,Winter
EUR/JPY,2015-12-22,132.257004,132.697006,132.100006,132.240005,JPY,136.20720515,136470.36275995,3.9672001499999965,132.240005,132901.205025,0.0,0.0,132.240005,132240.005,0.0,2015,12,1,Tuesday,4,Winter
EUR/GBP,2015-12-23,0.73854,0.7387,0.73198,0.7387,GBP,0.760861,762.331013,0.022160999999999986,0.7387,742.3935,0.0,0.0,0.7387,738.7,0.0,2015,12,2,Wednesday,4,Winter
EUR/USD,2015-12-23,1.095002,1.095494,1.088495,1.095002,USD,1.1278520600000002,1130.03111398,0.032850060000000125,1.095002,1100.47701,0.0,0.0,1.095002,1095.002,0.0,2015,12,2,Wednesday,4,Winter
EUR/JPY,2015-12-23,132.5,132.520004,131.673996,132.5,JPY,136.475,136738.675,3.9749999999999943,132.5,133162.5,0.0,0.0,132.5,132500.0,0.0,2015,12,2,Wednesday,4,Winter
EUR/GBP,2015-12-24,0.7332,0.73698,0.73192,0.7332,GBP,0.755196,756.655068,0.021996000000000016,0.7332,736.866,0.0,0.0,0.7332,733.1999999999999,0.0,2015,12,3,Thursday,4,Winter
EUR/JPY,2015-12-24,131.929993,131.990005,131.559998,131.919998,JPY,135.87759794,136140.11873601997,3.9575999399999944,131.919998,132579.59798999998,0.0,0.0,131.919998,131919.998,0.0,2015,12,3,Thursday,4,Winter
EUR/USD,2015-12-24,1.091,1.096696,1.091,1.090917,USD,1.1236445099999999,1125.81543483,0.03272750999999996,1.090917,1096.3715849999999,0.0,0.0,1.090917,1090.917,0.0,2015,12,3,Thursday,4,Winter
